period, operator, operatorLabel, product, category, gridusagename, gridusage before discount (cts./kWh), gridusagediscount discount (cts./kWh), gridusage after discount (cts./kWh), hereof grid: fixcosts (CHF p.a.), hereof grid: power price (CHF p.a.), hereof grid: working price (cts./kWh), energyname, energy before discount (cts./kWh), energy discount (cts./kWh), energy after discount (cts./kWh), hereof energy: fixcosts (CHF p.a.), hereof energy: power price (CHF p.a.), hereof energy: working price (cts./kWh), charge (cts./kWh), aidfee (cts./kWh), total (cts./kWh), metering rate (cts./kWh), annual metering cost (CHF p.a.)
2025,CHE-105.005.063,Industrielle Betriebe Kloten AG,standard,H6,7 ibk.classic Netz,7.705,0,7.705,72,0,6.347,ibk.classic Energie,13.169,0,13.169,34.8,0,13.03,0.231,2.3,23.406,,
2025,CHE-105.005.063,Industrielle Betriebe Kloten AG,standard,H4,7 ibk.classic Netz,9.811,0,9.811,72,0,7.141,ibk.classic Energie,13.803,0,13.803,34.8,0,13.03,0.601,2.3,26.515,,
2025,CHE-105.005.063,Industrielle Betriebe Kloten AG,standard,C5,5 ibk.industrie M Netz,7.074,0,7.074,588,18234,2.24,ibk.industrie Energie,11.407,0,11.407,34.8,0,11.4,0.154,2.3,20.935,,
2025,CHE-105.005.063,Industrielle Betriebe Kloten AG,standard,H3,7 ibk.classic Netz,9.38,0,9.38,72,0,6.71,ibk.classic Energie,13.803,0,13.803,34.8,0,13.03,0.601,2.3,26.085,,
2025,CHE-105.005.063,Industrielle Betriebe Kloten AG,standard,C2,7 ibk.classic Netz,8.888,0,8.888,72,0,7.578,ibk.classic Energie,13.146,0,13.146,34.8,0,13.03,0.218,2.3,24.552,,
2025,CHE-105.005.063,Industrielle Betriebe Kloten AG,standard,H8,7 ibk.classic Netz,9.171,0,9.171,72,0,7.141,ibk.classic Energie,13.494,0,13.494,34.8,0,13.03,0.421,2.3,25.386,,
2025,CHE-105.005.063,Industrielle Betriebe Kloten AG,standard,H5,7 ibk.classic Netz,8.79,0,8.79,72,0,6.76,ibk.classic Energie,13.494,0,13.494,34.8,0,13.03,0.421,2.3,25.005,,
2025,CHE-105.005.063,Industrielle Betriebe Kloten AG,standard,H2,7 ibk.classic Netz,11.093,0,11.093,72,0,7.143,ibk.classic Energie,14.422,0,14.422,34.8,0,13.03,0.962,2.3,28.776,,
2025,CHE-105.005.063,Industrielle Betriebe Kloten AG,standard,H1,7 ibk.classic Netz,12.756,0,12.756,72,0,7.186,ibk.classic Energie,15.205,0,15.205,34.8,0,13.03,1.418,2.3,31.679,,
2025,CHE-105.005.063,Industrielle Betriebe Kloten AG,standard,C6,5 ibk.industrie M Netz,6.591,0,6.591,588,48624,2.24,ibk.industrie Energie,11.402,0,11.402,34.8,0,11.4,0.151,2.3,20.445,,
2025,CHE-105.005.063,Industrielle Betriebe Kloten AG,standard,C4,6 ibk.business 6 Netz,9.354,0,9.354,588,19044,4.358,ibk.business Energie,11.637,0,11.637,34.8,0,11.63,0.154,2.3,23.445,,
2025,CHE-105.005.063,Industrielle Betriebe Kloten AG,standard,H7,7 ibk.classic Netz,8.492,0,8.492,72,0,6.868,ibk.classic Energie,13.298,0,13.298,34.8,0,13.03,0.306,2.3,24.396,,
2025,CHE-109.691.468,Energie Opfikon AG,cheapest,C5,MSLT,5.89,0,5.89,780,16020,1.75,MSLT,13.417,0,13.417,0,0,13.417,0,2.3,21.607,,
2025,CHE-109.691.468,Energie Opfikon AG,cheapest,C1,NSAT,9.998,0,9.998,86.4,0,8.138,NSAT,16.075,0,16.075,0,0,16.075,0,2.3,28.373,,
2025,CHE-109.691.468,Energie Opfikon AG,standard,H6,NSAT,7.757,0,7.757,86.4,0,6.632,NSAT,15.318,0,15.318,0,0,15.318,0,2.3,25.375,,
